昵称 (ID),年度金句 (精选),个人关键词 (3个),年度总结 (One Sentence)
六号的初五-Anyway(wxid_7c7hlnbxa9ou21),“一大早打开银行APP发现贷款年化利率变成了3.3%...”,#房贷#生活#精打细算,对利率、政策、生活成本极其敏感，真实的房奴生活写照。
LILI🦋(xiaomo5219),“去商店老板那里买（星露谷攻略）。”,#游戏#热心#攻略组,只要聊到游戏（特别是种田类），她就是最可靠的百科全书。
yunhao(wxid_v1smhle0natk21),“羡慕有调休。”,#羡慕#吃瓜#复读机,紧跟群聊节奏，擅长用最简洁的语言表达对他人的羡慕之情。
猫猫(hotwh508),“虽然但是……我觉的精神层面跟床上和谐都还是挺重要的。”,#两性大师#直言不讳#吃货,在情感和美食话题上有着独到且直白的见解，群里的“人生导师”之一。
Chris(wxid_op4wbj12z4xv22),“国内环境没有合适的服务（网盘）。”,#极客#海外#吐槽,对互联网服务有高要求的技术流，常因国内外网络环境差异而发出感叹。
🌕777(xiandan-chaoren-ol),“java 狗都不写。”,#暴躁#技术#直率,对编程语言有着鲜明的爱恨情仇，直率的发言常引发技术圈的“圣战”。
SUPER six(wxid_5f2hczy4wvdo22),“开摩托车表演。”,#分享#视频#乐子人,喜欢分享各种搞笑视频和表情包，致力于提升群聊的含梗量。
ShinYo(yanxinyangg),“真佩服S哥敢光明正大拍美女。”,#摄影#老司机#审美在线,摄影爱好者，擅长发现美（尤其是美女），群相册的主要贡献者之一。
采辰(我),“周报全是屏蔽词，笑死。”,#周报#打工#记录者,勤恳的周报搬运工，用实际行动记录着群友们的点滴（和黑历史）。
绵氧锅锅(wxid_sdkgp5c4db3121),“毕竟2000平的店。”,#老板#凡尔赛#大户,不经意间透露出的商业版图让人望尘莫及，群里的实业大佬。
辉哥(wxid_2br69edjzyv222),“大噶好，我是来自一群经典股东，前来留学。”,#留学#大厂#老群友,从隔壁群“留学”归来的老资历，带着大厂的从容与群友谈笑风生。
0002.HK(imkevinhu),“和酒店谈心取消。”,#薅羊毛#酒店#生活技巧,精通各类生活小技巧和酒店规则，是群友出行的最佳顾问。
山(flyingkids),“cloudflare... page.dev 看起来也不错。”,#建站#技术#极简,热衷于各类轻量级技术栈和建站工具，崇尚极简主义的开发者。
Ocean_(wxid_7525635257322),“燕云十六声居然可以上传图标自动捏脸。”,#游戏#捏脸#尝鲜,对新游戏和新功能充满好奇，总能第一时间带来前沿的游戏资讯。
Jasonᴬᴵᴬ(wxid_so4cv75pxtvp),“deepseek这么火，我在网上怎么只看到本地化部署变猫娘的教程...”,#AI#整活#吃瓜,关注AI发展，但关注点总是清奇地跑偏到奇怪的地方。
体脂减到16再改名-曾小河(utherzt),“精神层面跟床上同时有当然是最完美的。”,#健身#Flag#情感,立志减肥的Flag立了一整年，对灵与肉的结合有深刻思考。
胡漠杨(humoyang),“广东感觉要回南天了。”,#天气#广东#生活,广东天气播报员，让群友们足不出户感受南方的潮湿。
蠢蠢蠢-Anyway(liuzhichun35),“这是液体胶啦，特色就是有液体呀。”,#设计#创意#搞怪,对设计细节和创意产品有敏锐的嗅觉，总是分享奇奇怪怪的好东西。
🥤YxY🍟(johnsonhuohua),“因为太松弛，多次被我姐说像要饭的。”,#自黑#松弛感#幽默,用最狠的话自黑，用最松弛的态度面对生活（和形象）。
司徒一块(wxid_55oh6xctwtbs12),“有一种不想让别人抓到把柄的感觉。”,#犀利#观察#一针见血,发言不多，但每次都能精准概括事物的本质或他人的心理。
QU%(wxid_n8489uh9mtl222),“应该就是收集欲吧，就跟抽卡游戏一样。”,#盲盒#收集#分析,能从消费心理学角度分析群友的剁手行为，看透了谷子经济的本质。
乡毋宁-哑(wxid_nr1ceh5sd9pd22),“以后不干设计可以出来开班了。”,#捧场#设计#建议,总是鼓励大家发展副业（比如开班），是群友职业规划的“导师”。
Bean(chen429268688),“能ai生成聊天的辅助画面吗？”,#AI应用#脑洞#提问,总是提出一些充满想象力（且略带搞颜色嫌疑）的AI应用场景。
阿远(wxid_qoztlrio5gwy21),“拿的不多，主要是我们工资里很大一部分比例都放在年终了。”,#凡尔赛#年终奖#低调,又一位隐藏的凡尔赛大师，用最平淡的语气炫最狠的富。
学生-博(wxid_ieqx59cnajok22),“这是一盒扣除医保账户297元的维生素B...”,#吐槽#社会#经历,分享离谱的社会见闻，用亲身经历揭露生活的荒诞。
leongao(leongao11),“喜欢叫川普还是特朗普，是自己的事。”,#独立#观点#冷淡,对事物有独到的见解，不随波逐流，发言带着一股酷劲。
悍匪面包(wxid_pn00gqhkauro22),“非萎缩性浅表性胃炎，好小众的文字。”,#养生#病友#自嘲,久病成医，用幽默消解病痛，群里的健康反面教材兼养生顾问。
Parker(wxid_z5yuj3e2jslc22),“你没拍个抖音吗，匆匆那年做背景音乐的那个哈哈。”,#抖音#BGM#联想,思维跳跃，总能给生活场景配上最合适的BGM。
喜喜喜喜(wumi684626),“怎么证明（三群是最团结的）？”,#质疑#好奇#吃瓜,喜欢追问真相，不轻易相信群里的场面话。
豆包(xmh251390083),“中特这小分，迷人。”,#迷妹#夸夸#关注点,关注点总是很奇特，善于发现群友（特别是小特）的“迷人”之处。
随时偷着乐(wxid_5716537170612),“在写java的我，感觉被xdm冒犯了。”,#Java#防守#打工人,坚守Java阵地的开发者，常因语言鄙视链而感到受伤。
isabella(wxid_1944111944912),“新年快乐！”,#潜水#节日#礼貌,平时隐身，只有在重大节日才会浮出水面送祝福的礼貌群友。
isakula(wxid_n8p62s9oy7vf21),“可能是摸鱼的一个bug，会把多窗口浏览器强制前置。”,#摸鱼#Bug#技术,即使在摸鱼时也能发现技术Bug，敬业精神令人感叹。
白舍君(wxid_0295522955212),“新年快乐”,#卡点#过年#复读,每年第一时间的祝福发送者，群里的报时鸟。
小杰(wxid_kv8pehaa4k2v22),“当教授在教室上演发疯文学。”,#搬运#视频#乐子,喜欢搬运各类搞笑短视频，群里的快乐源泉之一。
The-Rays(wxid_6214826218912),“理解”,#复读#附和#随和,言简意赅，主打一个陪伴和理解，群里的最佳捧哏。
INFP(wxid_ju9pu9r8lh9122),“欢迎👏”,#迎新#INFP#友好,每次有新人进群都热情欢迎，充满INFP的温暖。
风控纪检-韬(chongxiaotao),“这个就是我现在的领导 🐮”,#分身#职场#八卦,韬哥的分身之一，专注于职场八卦和领导动态的分享。
新(wxid_6983796987712),“新年快乐”,#路人#节庆#低调,节日限定出现的群友，平时安静如鸡。
Richhost(Jiasuny),“外包要跟我谈薪资了 羡慕”,#分身#外包#搞钱,佛哥的分身，专门用于凡尔赛和讨论搞钱话题。
Jenius(Small-L),“怕电脑上蹲红包的人更专业”,#红包#真相#机智,对抢红包有着深刻的见解和危机感。
秘密的小刀(wxid_2282222289912),“[分享图片]”,#斗图#神秘#图片流,能发图绝不打字，用表情包沟通的神秘人。
三石(wxid_6797198309612),“再过两天 全新未拆送盒子么”,#闲鱼#捡漏#毒舌,盯着群友的闲置物品，随时准备捡漏的精明买家。
BJC_韬🖖🏻(chongxiaotao),“[视频] 这个怎么弄啊韬哥”,#分身#提问#自演,韬哥的另一个分身，用于自导自演和提出技术问题。
痛改钱飞(wxid_8838888838812),“理解”,#复读#ID梗#穷,ID透露出对金钱的渴望，发言主打一个随大流。
沐 然 、(wxid_9999999999912),“理解”,#复读#队形#路人,保持队形的一把好手，群聊背景板。
胡承龙(wxid_1111111111112),“理解”,#复读#沉默#路人,沉默的大多数，偶尔冒泡也是为了维持队形。
shawn_2016(Shawn),“新年快乐”,#年更#老友#潜水,只有在过年才能看到的ID，证明他还活着。
新人报道(dongmtjs),“公司突然派来一个175 55kg大长腿女上司...冷着脸对我说：‘下班到我办公室”,#分身#小剧场#幻想家,河哥的马甲，用于在改稿的间隙中依靠YY女上司维持精神状态，是群里最具画面感的叙事者。。
wxid_9ayeso0vbqt021,“[图片]”,#神秘#无名#发图,没有名字的神秘人，只用图片交流。
其他111位潜水观察员,“新年快乐” / “羡慕” / “？” / “[表情]”,#潜水#围观#沉默,沉默的大多数，构成了群聊的基石。他们或许不常发言，但每一条“羡慕”和“新年快乐”都是对群聊最大的支持。
